"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","soil_moisture","elevation"
-36.7683,149.4541,375.6,"D","2020-01-31",346,"D",0,"2020-01-31 03:46:00","Merimbula","New South Wales",3544,1,26.3,9.7,61,5,0,0.827,0.116025440394878,936
-15.5789,143.5742,320.3,"N","2020-11-19",1335,"N",0,"2020-11-19 13:35:00",NA,NA,NA,1,21.5,14.7,80,1,0,0.5134,0.147041201591492,302
-25.5015,152.4317,300.9,"N","2020-04-12",1225,"N",0,"2020-04-12 12:25:00","Urraween","Queensland",6969,1,18.3,9,84,1,0,0.7234,0.178453236818314,76
-14.4581,133.0455,330,"D","2020-06-17",429,"D",0,"2020-06-17 04:29:00",NA,NA,NA,1,30.2,15.9,29,0,0,0.4226,0.0915494561195374,163
-34.2737,149.9558,347.4,"D","2020-01-01",334,"D",0,"2020-01-01 03:34:00","Bowral","New South Wales",10335,1,19.3,11.2,73,0,0,0.5984,0.0539238341152668,867
-37.1966,140.7355,302.6,"D","2020-05-16",423,"D",0,"2020-05-16 04:23:00","Millicent","South Australia",4760,1,9.5,8.5,79,0,0,0.3575,0.248544067144394,53
-24.3732,148.5057,308.6,"N","2020-08-18",1225,"N",0,"2020-08-18 12:25:00",NA,NA,NA,1,16.3,10.3,57,0,0,0.3789,0.220224484801292,225
-20.8476,118.6974,330.8,"D","2020-06-10",600,"D",0,"2020-06-10 06:00:00",NA,NA,NA,1,24.6,9.7,39,0,0,0.2964,0.106307365000248,103
-12.4652,136.1068,373.9,"D","2020-07-22",500,"D",0,"2020-07-22 05:00:00",NA,NA,NA,1,24.8,16.5,51,0,0,0.6565,0.103528909385204,14
-26.838,151.8774,316.7,"D","2020-04-17",36,"D",0,"2020-04-17 00:36:00","Kingaroy","Queensland",10020,1,29.4,8.1,31,9,0,0.713,0.0808741673827171,538
-24.662,150.8104,307,"N","2020-11-01",1207,"N",0,"2020-11-01 12:07:00","Gladstone","Queensland",34703,1,17.4,9.5,50,0,0,0.3682,0.15955525636673,434
-19.068,125.5277,337.9,"D","2020-04-06",517,"D",0,"2020-04-06 05:17:00",NA,NA,NA,1,29,20.2,55,68,0.4,0.3503,0.0714185386896133,194
-25.9003,149.1373,330.7,"D","2020-11-06",17,"D",0,"2020-11-06 00:17:00",NA,NA,NA,1,28.1,9,18,0,0,0.4509,0.122796401381493,359
-35.9312,147.8854,338.6,"D","2020-01-04",404,"D",0,"2020-01-04 04:04:00","Tumut","New South Wales",6230,1,32.1,8.5,20,6,0,0.3735,0.0942743197083473,615
-37.0649,149.5865,352.3,"D","2020-01-13",358,"D",0,"2020-01-13 03:58:00","Eden","New South Wales",3151,1,19.4,13.2,77,29,0,0.5055,0.107000589370728,178
-16.5389,133.3047,364,"D","2020-11-11",459,"D",0,"2020-11-11 04:59:00",NA,NA,NA,1,35.3,9.3,27,26,0,0.3068,0.0454547591507435,278
-31.9882,141.4095,323.7,"D","2020-04-22",56,"D",0,"2020-04-22 00:56:00",NA,NA,NA,1,25.4,14.1,24,0,0,0.1494,0.0612844489514828,293
-21.6198,149.0157,338.7,"D","2020-10-01",40,"D",0,"2020-10-01 00:40:00","Mackay","Queensland",72900,1,25.5,13.8,53,8,0,0.4085,0.150254443287849,189
-16.6213,124.6286,326.2,"D","2020-05-10",218,"D",0,"2020-05-10 02:18:00",NA,NA,NA,1,35.2,17,18,0,0,0.2573,0.128982067108154,168
-15.246,129.0065,341.6,"D","2020-11-24",141,"D",0,"2020-11-24 01:41:00",NA,NA,NA,1,33.5,13.5,59,100,0,0.4183,0.0707389861345291,41
-25.5403,148.0889,329.6,"D","2020-11-07",343,"D",0,"2020-11-07 03:43:00",NA,NA,NA,1,26.5,11.9,21,62,0,0.3283,0.0721514374017715,486
-15.6339,126.3784,334.2,"D","2020-06-18",512,"D",0,"2020-06-18 05:12:00",NA,NA,NA,1,27.5,9,25,0,0,0.3771,0.0890510901808739,381
-15.8344,126.877,341.1,"D","2020-04-26",454,"D",0,"2020-04-26 04:54:00",NA,NA,NA,1,34,22.9,14,0,0,0.3561,0.117681629955769,339
-13.1636,132.4876,333.7,"D","2020-07-08",448,"D",0,"2020-07-08 04:48:00","Palmerston","Northern Territory",33695,1,29,10.6,30,1,0,0.4988,0.105365976691246,183
-34.784,150.3529,315.8,"N","2020-01-04",1507,"N",0,"2020-01-04 15:07:00","Bomaderry","New South Wales",6661,1,16.7,9.7,60,4,0,0.71045,0.0436126962304115,342
-28.2335,124.7554,326,"D","2020-11-22",616,"D",0,"2020-11-22 06:16:00",NA,NA,NA,1,28.2,20,26,91,0,0.182,0.029256708920002,367
-14.9083,144.7903,337.7,"D","2020-11-05",358,"D",0,"2020-11-05 03:58:00",NA,NA,NA,1,25,14.7,67,84,0,0.4779,0.0851209834218025,176
-13.636,131.2808,368.4,"D","2020-06-29",454,"D",0,"2020-06-29 04:54:00","Palmerston","Northern Territory",33695,1,28.8,8,28,0,0,0.4832,0.113096833229065,107
-35.8746,148.1309,306.8,"N","2020-01-01",1259,"N",0,"2020-01-01 12:59:00","Tumut","New South Wales",6230,1,12.9,13.5,85,0,0,0.6526,0.0709286257624626,648
-14.9057,144.8216,326.7,"D","2020-11-16",339,"D",0,"2020-11-16 03:39:00",NA,NA,NA,1,25,20.5,72,0,0,0.5043,0.0468482226133347,150
-37.183,148.3853,403.9,"D","2020-01-04",404,"D",0,"2020-01-04 04:04:00","Orbost","Victoria",2014,1,14.3,13.7,79,100,0,0.559,0.0660381466150284,830
-35.8971,149.0471,393.7,"N","2020-02-04",1247,"N",0,"2020-02-04 12:47:00","Canberra","Australian Capital Territory",381488,1,7.9,11.9,93,90,0,0.4783,0.119670234620571,1306
-12.4347,133.1391,328.9,"D","2020-07-19",430,"D",0,"2020-07-19 04:30:00",NA,NA,NA,1,31.5,9.8,22,76,0,0.459,0.0795409679412842,30
-32.5738,150.2039,326.6,"N","2020-01-04",1506,"N",0,"2020-01-04 15:06:00","Denman","New South Wales",1547,1,19.9,4.3,43,0,0,0.5322,0.0420115515589714,716
-13.2875,130.6787,300.1,"N","2020-06-06",1717,"N",0,"2020-06-06 17:17:00","Palmerston","Northern Territory",33695,1,20.5,9,66,49,0,0.4867,0.12213733792305,26
-14.8554,126.3504,323.2,"D","2020-05-07",147,"D",0,"2020-05-07 01:47:00",NA,NA,NA,1,35,13.3,14,0,0,0.5286,0.133089333772659,331
-31.4452,145.7807,304.2,"D","2020-06-30",354,"D",0,"2020-06-30 03:54:00","Cobar","New South Wales",3369,1,14.1,11.4,60,1,0,0.3928,0.120388694107533,252
-11.2256,132.0079,343.8,"D","2020-07-17",442,"D",0,"2020-07-17 04:42:00","Palmerston","Northern Territory",33695,1,25.8,13.3,50,40,0,0.6553,0.101813413202763,6
-16.8461,137.0558,327.6,"D","2020-07-01",441,"D",0,"2020-07-01 04:41:00",NA,NA,NA,1,27.5,16.6,38,11,0,0.4318,0.0907606482505798,121
-14.8956,130.566,320.3,"D","2020-06-06",448,"D",0,"2020-06-06 04:48:00",NA,NA,NA,1,26,7.7,30,0,0,0.3831,0.107223950326443,222
-19.4793,144.53,337.6,"D","2020-11-27",34,"D",0,"2020-11-27 00:34:00",NA,NA,NA,1,32.5,19.9,24,25,0,0.3781,0.0607329420745373,739
-15.2637,127.0254,323.3,"D","2020-07-06",211,"D",0,"2020-07-06 02:11:00",NA,NA,NA,1,27.6,20.5,19,0,0,0.3113,0.0696299970149994,321
-14.4732,144.5603,340.3,"D","2020-09-11",352,"D",0,"2020-09-11 03:52:00",NA,NA,NA,1,23.8,22.8,65,2,0,0.4372,0.206873163580894,15
-15.371,134.4644,324.1,"D","2020-06-25",518,"D",0,"2020-06-25 05:18:00",NA,NA,NA,1,25.1,8.2,21,0,0,0.35,0.0733797252178192,76
-14.1926,131.3094,323.5,"D","2020-05-12",454,"D",0,"2020-05-12 04:54:00","Palmerston","Northern Territory",33695,1,26.6,7.6,49,3,0,0.5231,0.125938832759857,56
-13.3926,132.489,318.7,"D","2020-06-03",128,"D",0,"2020-06-03 01:28:00","Palmerston","Northern Territory",33695,1,29.5,18.3,18,0,0,0.5659,0.153197407722473,193
-14.2296,127.0445,313.8,"D","2020-07-18",236,"D",0,"2020-07-18 02:36:00",NA,NA,NA,1,33.8,13.3,12,0,0,0.3347,0.109561026096344,125
-36.6494,140.6611,332.6,"D","2020-04-17",454,"D",0,"2020-04-17 04:54:00","Millicent","South Australia",4760,1,14.5,13.9,68,22,0,0.389,0.115540690720081,75
-12.9234,133.3561,317.9,"D","2020-05-27",122,"D",0,"2020-05-27 01:22:00",NA,NA,NA,1,32.2,11.5,23,88,0,0.4167,0.137276619672775,268
-15.0534,128.0211,314.5,"D","2020-05-08",230,"D",0,"2020-05-08 02:30:00",NA,NA,NA,1,30.8,17.6,35,0,0,0.4059,0.0981821864843369,188
-32.7952,119.9005,363.8,"D","2020-02-07",532,"D",0,"2020-02-07 05:32:00",NA,NA,NA,1,34,15.5,20,100,0,0.41,0.0441761948168278,419
-42.0163,145.2947,390.4,"D","2020-09-10",440,"D",0,"2020-09-10 04:40:00","Queenstown","Tasmania",1772,1,10.2,17.1,65,96,0,0.816,0.387040317058563,125
-37.6502,148.9925,324.4,"D","2020-01-30",441,"D",0,"2020-01-30 04:41:00","Orbost","Victoria",2014,1,25.1,8,63,0,0,0.588,0.18845134973526,184
-13.394,133.6704,324.7,"D","2020-04-26",454,"D",0,"2020-04-26 04:54:00",NA,NA,NA,1,29.2,9.4,40,12,0,0.6695,0.170800045132637,361
-35.8778,136.825,347.2,"D","2020-01-03",500,"D",0,"2020-01-03 05:00:00",NA,NA,NA,1,21.8,21.6,60,89,0,0.7073,0.0588333792984486,198
-35.962,148.3243,369.5,"D","2020-01-02",417,"D",0,"2020-01-02 04:17:00","Jindabyne","New South Wales",2233,1,19.5,4,37,0,0,0.7825,0.119599416851997,1536
-36.957,147.2926,327.3,"N","2020-01-03",1246,"N",0,"2020-01-03 12:46:00","Albury","New South Wales",4804,1,15.3,11.1,37,0,0,0.7105,0.0851958021521568,1187
-34.7968,150.3088,374.4,"D","2020-01-03",2349,"D",0,"2020-01-03 23:49:00","Bomaderry","New South Wales",6661,1,39.7,11.5,23,0,0,0.47715,0.0426625907421112,62
-13.3138,131.9747,323.7,"D","2020-06-18",512,"D",0,"2020-06-18 05:12:00","Palmerston","Northern Territory",33695,1,30.8,11.3,32,68,0,0.4882,0.122730746865273,92
-11.5306,132.9821,327.2,"D","2020-07-15",455,"D",0,"2020-07-15 04:55:00",NA,NA,NA,1,25,7.6,70,60,0,0.5937,0.109899371862411,28
-13.0674,130.7713,335.4,"D","2020-05-28",454,"D",0,"2020-05-28 04:54:00","Palmerston","Northern Territory",33695,1,26.5,9.1,45,0,0,0.5516,0.257229655981064,62
-37.2221,149.2376,371.8,"N","2020-01-04",1507,"N",0,"2020-01-04 15:07:00","Eden","New South Wales",3151,1,11.4,10.4,76,84,0,0.7108,0.0671182349324226,634
-15.1126,143.3273,309.7,"D","2020-06-03",128,"D",0,"2020-06-03 01:28:00",NA,NA,NA,1,28.8,17.1,39,98,0,0.4608,0.146412640810013,171
-15.2105,131.4783,330.4,"D","2020-09-21",429,"D",0,"2020-09-21 04:29:00",NA,NA,NA,1,35.5,8.7,38,39,0.1,0.239,0.161114424467087,187
