"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","elevation","soil_moisture"
0,"2020-06-19 09:35:14.505981",NA,NA,NA,-27.167918075055,134.032510109159,"N",0,14.5,18.7,46,0,0,0.1603,359,0.0551243424415588
0,"2020-09-27 09:35:31.941118",NA,NA,NA,-23.4818808382877,127.5453689317,"D",0,25.2,20.5,38,9,0,0.1682,423,0.0299704950302839
0,"2020-03-24 19:04:16.506518",NA,NA,NA,-30.3472154928303,140.633854732596,"D",0,19,16.3,56,0,0,0.1591,60,0.0420687273144722
0,"2020-06-25 20:48:07.082318","Griffith","New South Wales",18196,-34.1530577182455,146.443361793116,"D",0,8.9,10,86,0,0,0.5385,147,0.136515378952026
0,"2020-09-03 21:13:55.695717",NA,NA,NA,-31.3021444713125,144.002333580265,"N",0,17.6,21.5,40,7,0,0.2308,83,0.209953188896179
0,"2020-07-05 10:35:30.158253",NA,NA,NA,-25.616480958381,136.607042970982,"N",0,8.4,15.6,62,0,0,0.1805,109,0.042022991925478
0,"2020-06-16 09:59:12.616904",NA,NA,NA,-25.9886077237778,115.570601386245,"D",0,18.6,0.8,24,0,0,0.1255,283,0.0365157648921013
0,"2020-03-22 09:09:45.46255","Walgett","New South Wales",1377,-28.8116785167791,148.502829328658,"N",0,24,15.2,35,0,0,0.2907,171,0.130801483988762
0,"2020-08-05 19:17:57.09732",NA,NA,NA,-17.6812941900651,139.449951835946,"N",0,22.8,13,77,65,0,0.3812,4,0.16514265537262
0,"2020-11-16 19:13:25.173528",NA,NA,NA,-25.0725715968154,124.725730304964,"N",0,29.6,30.8,20,0,0,0.1053,458,0.0247399155050516
0,"2020-04-07 20:27:32.271047",NA,NA,NA,-13.7688097989401,135.904118297918,"N",0,27.2,8.2,80,87,0.3,-0.9999,0,0.173724099993706
0,"2020-10-02 09:28:27.561227",NA,NA,NA,-31.7082191366701,118.18499593968,"N",0,12.2,17.6,52,90,0,0.3638,276,0.081937737762928
0,"2020-11-21 08:46:27.909179",NA,NA,NA,-20.9337964397153,137.243588520151,"D",0,30.9,12.7,24,0,0,0.2421,220,0.0430766567587852
0,"2020-04-19 19:16:43.790059",NA,NA,NA,-25.4193541380737,136.415327357037,"N",0,25.1,18.8,20,51,0,0.2085,122,0.0461550503969193
0,"2020-12-21 10:16:35.985393",NA,NA,NA,-25.2116580279002,135.651167391523,"D",0,20.2,12.3,86,99,0,0.1783,172,0.0495087131857872
0,"2020-03-05 21:56:34.305391","Bourke","New South Wales",1535,-29.6010751890087,144.498190679369,"D",0,21.5,13.5,74,39,0,0.2671,114,0.0646078512072563
