"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity"
36.3949,-121.4509,305.3,"N","2020-08-22",542,"N",0,"2020-08-22 05:42:00","Soledad","California",24476,1,18.8,4,59
26.0949,-97.6959,318.8,"D","2020-11-23",1715,"D",0,"2020-11-23 17:15:00","Rangerville","Texas",111,1,26.1,18.6,53
33.3169,-93.6259,312.3,"D","2020-10-20",1901,"D",0,"2020-10-20 19:01:00","Lewisville","Arkansas",937,1,26,9,64
37.0985,-119.37,464.3,"D","2020-09-07",2100,"D",0,"2020-09-07 21:00:00","Shaver Lake","California",355,1,36.9,14.5,11
38.9974,-111.4796,355.5,"D","2020-08-16",1819,"D",0,"2020-08-16 18:19:00","Emery","Utah",521,1,23.2,5.6,11
39.3885,-121.3086,322.6,"N","2020-09-09",944,"N",0,"2020-09-09 09:44:00","Rackerby","California",106,1,22.2,21.1,11
41.7176,-92.5993,311.1,"D","2020-03-31",1922,"D",0,"2020-03-31 19:22:00","Malcom","Iowa",268,1,11.4,11,49
30.879,-88.1481,306.1,"D","2020-11-19",1913,"D",0,"2020-11-19 19:13:00","Saraland","Alabama",16304,1,15.1,5.1,75
41.0423,-123.2787,325.2,"D","2020-10-16",2107,"D",0,"2020-10-16 21:07:00","Trinity Village","California",230,1,23.3,12,19
39.7154,-122.7796,327.1,"D","2020-09-08",2003,"D",0,"2020-09-08 20:03:00","Elk Creek","California",52,1,30.2,11.9,5
32.0699,-96.1758,327.1,"D","2020-01-20",1913,"D",0,"2020-01-20 19:13:00","Goodlow","Texas",226,1,11.3,4.3,43
27.3398,-81.1177,310.2,"D","2020-11-04",1643,"D",0,"2020-11-04 16:43:00","Lake Placid","Florida",2438,1,23.8,19.4,58
26.4835,-81.649,367.9,"D","2020-03-13",1620,"D",0,"2020-03-13 16:20:00","Florida Gulf Coast University","Florida",4416,1,30.3,6.9,31
42.6852,-111.5921,323.8,"N","2020-06-19",543,"N",2,"2020-06-19 05:43:00","Soda Springs","Idaho",3150,1,1.5,1.9,97
46.9242,-116.1222,350.6,"D","2020-09-10",1811,"D",0,"2020-09-10 18:11:00","Elk River","Idaho",133,1,26.5,8,19
26.4861,-80.7382,324.4,"D","2020-03-27",1632,"D",0,"2020-03-27 16:32:00","South Bay","Florida",4828,1,33.8,16.8,31
39.5866,-122.8614,322.8,"D","2020-09-05",2113,"D",0,"2020-09-05 21:13:00","Elk Creek","California",52,1,36,11,12
39.7014,-122.7927,356.7,"D","2020-08-20",2113,"D",0,"2020-08-20 21:13:00","Elk Creek","California",52,1,29.2,3.3,14
39.7149,-121.045,359.5,"D","2020-09-08",2144,"D",0,"2020-09-08 21:44:00","La Porte","California",50,1,22.4,30.9,10
44.1201,-122.2833,317.8,"N","2020-09-10",1025,"N",0,"2020-09-10 10:25:00","Cascadia","Oregon",103,1,12,13.3,21
40.0157,-122.8587,405,"D","2020-09-08",2144,"D",0,"2020-09-08 21:44:00","Paskenta","California",61,1,22.2,12.1,6
39.9172,-122.9416,408.3,"D","2020-09-05",2113,"D",0,"2020-09-05 21:13:00","Covelo","California",1495,1,30.3,10.9,11
45.0377,-96.3312,333.2,"D","2020-11-28",1911,"D",0,"2020-11-28 19:11:00","Marietta","Minnesota",172,1,3.8,12.5,43
47.9782,-119.7909,319.9,"N","2020-09-09",533,"N",0,"2020-09-09 05:33:00","Bridgeport","Washington",2307,1,14.8,0.7,39
37.5237,-119.2111,307.8,"N","2020-09-20",926,"N",0,"2020-09-20 09:26:00","Mammoth Lakes","California",7233,1,6.5,8.9,55
44.811,-122.5158,450.6,"N","2020-09-08",1037,"N",0,"2020-09-08 10:37:00","Mill City","Oregon",1876,1,15.6,32.7,21
27.5749,-82.3247,315.3,"D","2020-08-23",1823,"D",0,"2020-08-23 18:23:00","Wimauma","Florida",13003,1,25.9,8.4,93
39.8591,-120.9854,303.6,"N","2020-09-04",925,"N",0,"2020-09-04 09:25:00","Quincy","California",1580,1,13.5,2.7,57
41.9482,-123.3861,339.6,"N","2020-09-10",1026,"N",0,"2020-09-10 10:26:00","Happy Camp","California",580,1,13.9,4,19
42.0444,-105.527,359.1,"D","2020-08-07",2006,"D",0,"2020-08-07 20:06:00","Westview Circle","Wyoming",117,1,28.8,27,6
40.0851,-122.7988,375.1,"D","2020-08-31",1915,"D",0,"2020-08-31 19:15:00","Paskenta","California",61,1,32.2,11.4,14
41.2251,-123.3839,307.8,"N","2020-08-21",638,"N",0,"2020-08-21 06:38:00","Weitchpec","California",87,1,15.2,2.5,66
32.4175,-110.7048,340.3,"D","2020-06-22",1815,"D",0,"2020-06-22 18:15:00","Willow Canyon","Arizona",0,1,27.5,12.8,10
35.2215,-90.465,323,"D","2020-09-19",1945,"D",0,"2020-09-19 19:45:00","Earle","Arkansas",1421,1,22.6,13.9,47
36.6617,-120.1295,307.8,"N","2020-05-28",619,"N",0,"2020-05-28 06:19:00","San Joaquin","California",3734,1,27,13.5,28
35.3074,-115.6101,342.1,"D","2020-08-16",1820,"D",0,"2020-08-16 18:20:00","Baker","California",482,1,36.8,1.6,9
46.3027,-120.6395,310.6,"D","2020-02-28",2103,"D",0,"2020-02-28 21:03:00","White Swan","Washington",598,1,15.1,25.6,43
29.9978,-85.1979,318.7,"D","2020-02-07",1900,"D",0,"2020-02-07 19:00:00","Wewahitchka","Florida",1904,1,9,8,62
35.2968,-79.9624,303.4,"D","2020-03-01",1908,"D",0,"2020-03-01 19:08:00","Mount Gilead","North Carolina",1166,1,8.6,10.5,56
34.0641,-97.8621,306,"D","2020-03-06",1750,"D",0,"2020-03-06 17:50:00","Ryan","Oklahoma",772,1,16.6,8.4,30
40.5593,-110.6129,475.6,"D","2020-09-07",2101,"D",0,"2020-09-07 21:01:00","Tabiona","Utah",157,1,16.4,20.8,16
41.0252,-123.4167,309.9,"N","2020-09-10",614,"N",0,"2020-09-10 06:14:00","Trinity Village","California",230,1,22.9,4.3,9
39.6147,-122.8055,306.1,"N","2020-09-02",525,"N",0,"2020-09-02 05:25:00","Elk Creek","California",52,1,22.3,3.1,17
38.5358,-96.0717,335.9,"D","2020-03-30",1700,"D",0,"2020-03-30 17:00:00","Reading","Kansas",195,1,18.7,14.4,44
46.9108,-120.5167,319,"N","2020-09-04",514,"N",0,"2020-09-04 05:14:00","Ellensburg","Washington",18913,1,23.4,1.8,28
41.0707,-123.3066,314.7,"D","2020-09-23",1920,"D",0,"2020-09-23 19:20:00","Trinity Village","California",230,1,21.6,12.8,51
31.3845,-94.9324,315.4,"D","2020-11-23",1713,"D",0,"2020-11-23 17:13:00","Wells","Texas",741,1,18.1,6.6,57
45.3044,-115.3292,343.9,"D","2020-09-16",1913,"D",0,"2020-09-16 19:13:00","Yellow Pine","Idaho",369,1,22.8,9.4,21
