"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","cloud_cover","temp_C","wind","humidity","precipitation","ndvi","soil_moisture","elevation"
0,"2020-11-14 13:26:05.671878","Mole Lake","Wisconsin",507,45.4370722228801,-88.9657944608398,"D",0,97,4.4,23,31,0,0.532,0.234228134155273,470
0,"2020-02-11 01:28:37.54503","Eunice","New Mexico",2989,32.48130651299,-103.135459306181,"N",0,97,2.7,13.3,90,0.1,0.227,0.0625366643071175,1038
0,"2020-11-28 09:27:24.794481","Wiseman","Alaska",22,67.4714200710549,-151.050324258832,"D",0,95,-22.4,1.8,92,0,-0.9999,0.667713701725006,0
0,"2020-03-02 12:46:56.744428","Hale Center","Texas",1705,33.9774109035335,-101.879103704189,"D",0,10,12.9,8.4,45,0,0.2511,0.245386973023415,1039
0,"2020-03-17 01:12:23.192533","Kelly","Wyoming",254,43.9147847495641,-110.322249322567,"N",0,79,-3.2,9.4,86,0,0.1718,0.171194046735764,2400
0,"2020-02-24 04:21:07.868063","Buffalo","Wyoming",4516,44.3374621076338,-107.077076010474,"N",0,100,-9.4,9.8,73,0.2,0.2133,0.114267855882645,2830
0,"2020-02-01 04:08:44.533378","Alta","Wyoming",656,44.0558318775867,-110.665164953773,"D",0,97,-6.9,2.3,85,0,0.0306,0.131736636161804,2380
0,"2020-01-11 12:27:31.503537","Turbeville","South Carolina",703,33.9099553935974,-80.041995795488,"D",0,98,21.1,21.9,82,0.1,0.5854,0.27238130569458,37
0,"2020-07-26 00:49:40.309843","Gakona","Alaska",200,62.4348282701735,-145.883758537984,"N",0,100,11.9,18.7,63,0,0.6868,0.551044702529907,0
0,"2020-04-10 13:19:14.328969","Shelley","Idaho",4987,43.4158486297473,-112.059429160898,"D",0,0,12.7,17.8,43,0,0.1916,0.267137765884399,1420
0,"2020-12-17 03:45:28.060347","Hubbell","Nebraska",61,40.0277032192697,-97.5439237722444,"N",0,0,-1.6,12,77,0,0.2327,0.23011215031147,474
0,"2020-04-13 13:29:43.966299","Smithtown","North Carolina",168,36.2823392637561,-80.5276960731356,"D",0,35,22.4,21.8,54,0.5,0.6471,0.324389338493347,272
0,"2020-04-12 00:36:47.578352","Ruby","Alaska",180,64.7308220821319,-154.500652795148,"N",0,100,2,6.7,67,0,0.0293,0.538739144802094,0
0,"2020-01-25 03:50:44.694399","Daggett","Michigan",212,45.5615767848976,-87.7722741911044,"D",0,100,-0.3,12.2,93,0.4,0.2104,0.732243180274963,239
0,"2020-02-19 03:16:58.477642","Tularosa","New Mexico",2584,33.3603506264348,-106.352599005161,"D",0,0,6.3,6.1,62,0,0.1313,0.162564873695374,1269
0,"2020-07-01 12:50:55.100127","Roseville","Iowa",12,43.0540835930027,-92.8188671636657,"N",0,84,26.4,18,69,0.8,0.8362,0.327288150787354,331
0,"2020-01-30 10:08:37.857211","Rico","Colorado",392,37.6240787587706,-108.059651833882,"D",0,0,-14.7,5.1,73,0,0.1086,0.103398591279984,2782
0,"2020-12-06 05:27:33.534256","Nunam Iqua","Alaska",0,62.5071786488756,-164.500602065859,"N",0,82,-12.8,24,83,0,-0.9999,0.734248220920563,0
0,"2020-02-22 05:09:20.065546",NA,NA,NA,65.588231685693,-142.046792743293,"N",0,95,-14.4,4.7,91,0,0.0339,0.267959415912628,0
0,"2020-02-01 07:57:20.957902","Pike Road","Alabama",10103,32.2307034622574,-86.0213416767137,"D",0,100,6.9,1.1,90,0,0.558,0.378115773200989,87
0,"2020-01-11 01:50:35.264903","Forestville","Pennsylvania",280,41.1025114811395,-80.0300933264719,"N",0,100,10.6,18,77,0,0.1698,0.343731075525284,415
0,"2020-03-30 08:29:05.757365","Lamar","Nebraska",7,40.4966706744545,-101.935599489591,"D",0,98,4.8,14.3,70,0.1,0.4046,0.0869129821658134,1047
0,"2020-04-19 10:31:57.769433","Lanesville","Indiana",871,38.2238404184143,-85.925378224679,"N",0,99,10,7.4,66,0,0.7243,0.345997929573059,201
0,"2020-02-12 01:58:41.408191","Darrington","Washington",1397,48.1708735653397,-120.974437591607,"N",0,100,-5.8,4.3,98,0.1,0.0543,0.302885055541992,1843
0,"2020-02-16 12:39:26.248291","Winslow","Nebraska",67,41.6060480669174,-96.4855242153669,"D",0,69,8.1,16.9,39,0,0.1722,0.318032175302505,366
0,"2020-11-25 10:53:22.057825","Taft","Oklahoma",79,35.720048788385,-95.5821981093419,"N",0,1,7.9,23.1,65,0,0.4439,0.274331390857697,199
0,"2020-03-28 23:43:31.092891","Zurich","Montana",45,48.5467770590448,-108.958370251474,"D",0,17,13.1,15.7,34,0,0.2301,0.191841721534729,719
0,"2020-03-15 23:33:03.579109","Ocotillo","California",157,32.8148309195313,-115.948174832764,"N",0,9,20.8,23.8,44,0,0.0573,0.0940899401903152,90
