"wildfire","datetime","brightness","longitude","latitude","datetime_utc","sza","computed_daynight_sza","nearest_city","state","nearest_city_population","AQI","temp_C","elevation"
0,"2020-04-06 13:48:46.459805",0,135.94475102565,-19.2500421939442,2020-04-06 03:48:46.459805,28.4717270833385,"N",NA,NA,NA,247.554285714286,24.2,23.2659206390381
0,"2020-07-16 06:00:34.652142",0,116.771139573357,-30.9265444964981,2020-07-15 20:00:34.652142,129.972903501055,"D","Perth","Western Australia",3472,198.415037593985,14.9,102.261215209961
0,"2020-10-08 09:53:02.115168",0,130.859183393212,-17.952523224044,2020-10-07 22:53:02.115168,62.4832045530699,"N",NA,NA,NA,206.321621621622,28.6,109.165954589844
0,"2020-04-17 10:58:22.493398",0,126.277767537477,-22.0717749903418,2020-04-17 00:58:22.493398,50.3342004164803,"N",NA,NA,NA,205.110810810811,29.5,316.547058105469
0,"2020-08-26 11:46:54.464738",0,122.671535180261,-23.5221846309471,2020-08-26 01:46:54.464738,45.6416342811991,"N",NA,NA,NA,198.931721194879,23.4,93.5204849243164
0,"2020-10-12 23:51:21.922613",0,115.177722190939,-23.5205149750714,2020-10-12 12:51:21.922613,123.17225340118,"D",NA,NA,NA,223.205882352941,25,98.8645324707031
0,"2020-10-15 19:39:07.652963",0,146.393188562393,-25.8360324820205,2020-10-15 08:39:07.652963,94.7702287286258,"D",NA,NA,NA,243.002857142857,17.4,652.724243164062
0,"2020-06-27 20:44:54.92147",0,138.305245796664,-26.9930411584448,2020-06-27 10:44:54.92147,124.875560209994,"D",NA,NA,NA,197.644736842105,9.6,160.026733398438
0,"2020-12-06 08:39:23.042345",0,137.259793242461,-25.3513180766045,2020-12-05 21:39:23.042345,68.3238215325714,"N",NA,NA,NA,273.297142857143,24.9,435.90869140625
0,"2020-09-13 16:23:30.136646",0,127.842620586461,-19.4006975799499,2020-09-13 06:23:30.136646,49.5694449319998,"N",NA,NA,NA,262.835135135135,25.5,48.4394340515137
0,"2020-07-15 03:12:15.306181",0,124.836859113861,-15.2178062946659,2020-07-14 17:12:15.306181,158.837670264808,"D",NA,NA,NA,196.66081871345,30.1,23.2659206390381
0,"2020-06-20 05:51:00.86909",0,115.843860221616,-31.776659269613,2020-06-19 19:51:00.86909,132.659974227936,"D","Perth","Western Australia",2141834,256.710810810811,12.6,102.261215209961
