"wildfire","brightness","type","datetime","longitude","latitude","sza","computed_daynight_sza","nearest_city","nearest_city_population","state","datetime.1","hour_utc","datetime_utc","lat_bin","lon_bin","elevation","temp_C","AQI"
1,306.2,0,"2020-12-06 12:39:00",145.268,-18.2226,8.4966392177404,"N","Innisfail",1091,"Queensland","2020-12-06 12:00:00","2020-12-06 01:39:00","2020-12-06 01:00:00",-18.2,145.3,647.510925292969,19.4,264.568571428571
1,305.4,0,"2020-02-04 03:21:00",149.9452,-37.3301,118.367978911371,"D","Eden",3151,"New South Wales","2020-02-04 03:00:00","2020-02-03 16:21:00","2020-02-03 16:00:00",-37.3,149.9,151.16862487793,17.2,253.667567567568
1,309.9,0,"2020-07-01 14:06:00",125.6691,-15.8303,39.3859269597386,"N",NA,NA,NA,"2020-07-01 14:00:00","2020-07-01 04:06:00","2020-07-01 04:00:00",-15.8,125.7,244.564712524414,20.1,202.120588235294
1,321.7,0,"2020-05-30 04:42:00",134.1528,-12.7993,126.834694911435,"D",NA,NA,NA,"2020-05-30 04:00:00","2020-05-29 18:42:00","2020-05-29 18:00:00",-12.8,134.2,180.535949707031,30,262.833333333333
1,347.3,0,"2020-11-07 03:43:00",151.1186,-25.8274,118.768920848073,"D","Kingaroy",10020,"Queensland","2020-11-07 03:00:00","2020-11-06 16:43:00","2020-11-06 16:00:00",-25.8,151.1,299.199951171875,23.5,256.891428571428
1,303.3,0,"2020-10-02 13:35:00",144.7407,-14.7291,23.5088493388792,"N",NA,NA,NA,"2020-10-02 13:00:00","2020-10-02 03:35:00","2020-10-02 03:00:00",-14.7,144.7,213.995712280273,23.7,219.316666666667
1,350.6,0,"2020-01-05 03:10:00",150.3796,-33.844,115.914776339902,"D","Hazelbrook",4974,"New South Wales","2020-01-05 03:00:00","2020-01-04 16:10:00","2020-01-04 16:00:00",-33.8,150.4,207.995407104492,19.9,243.234285714286
1,332.9,0,"2020-01-01 03:35:00",150.5922,-32.575,113.282939112099,"D","Denman",1547,"New South Wales","2020-01-01 03:00:00","2019-12-31 16:35:00","2019-12-31 16:00:00",-32.6,150.6,542.076049804688,24.5,247.066666666667
1,328.9,0,"2020-05-12 04:53:00",137.0721,-16.323,121.873131468394,"D",NA,NA,NA,"2020-05-12 04:00:00","2020-05-11 18:53:00","2020-05-11 18:00:00",-16.3,137.1,29.0917339324951,26.5,252.63947368421
1,311.6,0,"2020-07-08 01:58:00",134.4909,-12.4204,164.301137088522,"D",NA,NA,NA,"2020-07-08 01:00:00","2020-07-07 15:58:00","2020-07-07 15:00:00",-12.4,134.5,28.5185413360596,31.6,199.227067669173
1,334.4,0,"2020-10-10 05:00:00",135.7055,-12.3949,127.956568335182,"D",NA,NA,NA,"2020-10-10 05:00:00","2020-10-09 18:00:00","2020-10-09 18:00:00",-12.4,135.7,34.2014961242676,31.5,200.459459459459
1,328,0,"2020-01-04 04:04:00",147.3518,-36.9453,108.209993520058,"D","Albury",4804,"New South Wales","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-36.9,147.4,1545.21020507812,15.5,255.231428571429
1,313.5,0,"2020-05-01 06:46:00",116.0898,-31.1923,116.190506392248,"D","Perth",3472,"Western Australia","2020-05-01 06:00:00","2020-04-30 20:46:00","2020-04-30 20:00:00",-31.2,116.1,177.947769165039,16.8,250.182051282051
1,301.1,0,"2020-06-08 06:09:00",117.8877,-34.7091,126.624757383234,"D",NA,NA,NA,"2020-06-08 06:00:00","2020-06-07 20:09:00","2020-06-07 20:00:00",-34.7,117.9,198.628158569336,14.3,264.286486486486
1,353.1,0,"2020-01-02 04:16:00",148.6189,-37.6612,105.131728245121,"D","Orbost",2014,"Victoria","2020-01-02 04:00:00","2020-01-01 17:16:00","2020-01-01 17:00:00",-37.7,148.6,162.403823852539,17.3,239.491666666667
1,370.4,0,"2020-01-04 04:04:00",148.3045,-37.0292,107.647527403832,"D","Jindabyne",2233,"New South Wales","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-37,148.3,952.053527832031,15.2,255.231428571429
1,336.7,0,"2020-04-16 05:51:00",116.8555,-32.1338,125.236789709364,"D","Perth",2141834,"Western Australia","2020-04-16 05:00:00","2020-04-15 19:51:00","2020-04-15 19:00:00",-32.1,116.9,210.00048828125,19.7,195.304709141274
1,324,0,"2020-01-04 04:04:00",148.2301,-37.1411,107.60266948302,"D","Orbost",2014,"Victoria","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-37.1,148.2,952.671630859375,14.3,255.231428571429
1,358.6,0,"2020-09-06 05:12:00",129.8823,-14.3142,122.455576352976,"D",NA,NA,NA,"2020-09-06 05:00:00","2020-09-05 19:12:00","2020-09-05 19:00:00",-14.3,129.9,3,35.2,199.302987197724
1,415.4,0,"2020-01-08 05:20:00",123.4333,-32.5913,114.739401949193,"D",NA,NA,NA,"2020-01-08 05:00:00","2020-01-07 18:20:00","2020-01-07 18:00:00",-32.6,123.4,177.629974365234,28.9,251.072222222222
1,315.9,0,"2020-09-14 13:48:00",127.8809,-15.0788,19.3550605333617,"N",NA,NA,NA,"2020-09-14 13:00:00","2020-09-14 03:48:00","2020-09-14 03:00:00",-15.1,127.9,5.94083547592163,25.6,272.7
1,309.1,0,"2020-03-15 16:47:00",126.6673,-17.5174,34.1622456928973,"N",NA,NA,NA,"2020-03-15 16:00:00","2020-03-15 05:47:00","2020-03-15 05:00:00",-17.5,126.7,452.798645019531,26.7,277.305714285714
